Cyprus: ['Northern Cyprus']; distance: 1
Dominican Republic: ['Haiti']; distance: 1
Northern Cyprus: ['Cyprus']; distance: 1
Haiti: ['Dominican Republic']; distance: 1
Ukraine: ['Canada', 'Lesotho']; distance: 13
Lithuania: ['Canada', 'Lesotho']; distance: 13
Belarus: ['Canada', 'Lesotho']; distance: 13
Poland: ['Lesotho']; distance: 13
Croatia: ['Lesotho', 'Canada']; distance: 13
Hungary: ['Canada', 'Lesotho']; distance: 13
Russia: ['Canada']; distance: 13
Slovakia: ['Lesotho']; distance: 14
Czech Republic: ['Lesotho']; distance: 14
Estonia: ['Canada']; distance: 14
Georgia: ['Canada']; distance: 14
Montenegro: ['Canada']; distance: 14
North Korea: ['Canada']; distance: 14
Germany: ['Lesotho']; distance: 14
Kazakhstan: ['Canada']; distance: 14
China: ['Canada']; distance: 14
Moldova: ['Canada']; distance: 14
Finland: ['Canada']; distance: 14
Republic of Serbia: ['Canada']; distance: 14
Norway: ['Canada']; distance: 14
Austria: ['Lesotho']; distance: 14
Azerbaijan: ['Canada']; distance: 14
Latvia: ['Canada']; distance: 14
Mongolia: ['Canada']; distance: 14
Slovenia: ['Lesotho']; distance: 14
Romania: ['Canada']; distance: 14
Bosnia and Herzegovina: ['Canada']; distance: 14
Laos: ['Canada']; distance: 15
Albania: ['Canada']; distance: 15
Armenia: ['Canada']; distance: 15
Turkey: ['Canada']; distance: 15
Sweden: ['Canada']; distance: 15
Bhutan: ['Canada']; distance: 15
Iran: ['Canada']; distance: 15
Pakistan: ['Canada']; distance: 15
India: ['Canada']; distance: 15
Italy: ['Lesotho']; distance: 15
Afghanistan: ['Canada']; distance: 15
Tajikistan: ['Canada']; distance: 15
South Korea: ['Canada']; distance: 15
Turkmenistan: ['Canada']; distance: 15
Uzbekistan: ['Canada']; distance: 15
France: ['Lesotho']; distance: 15
Netherlands: ['Lesotho']; distance: 15
Macedonia: ['Canada']; distance: 15
Myanmar: ['Canada']; distance: 15
Belgium: ['Lesotho']; distance: 15
Switzerland: ['Lesotho']; distance: 15
Denmark: ['Lesotho']; distance: 15
Nepal: ['Canada']; distance: 15
Bulgaria: ['Canada']; distance: 15
Kosovo: ['Canada']; distance: 15
Vietnam: ['Canada']; distance: 15
Kyrgyzstan: ['Canada']; distance: 15
Luxembourg: ['Lesotho']; distance: 15
Brazil: ['Lesotho']; distance: 16
Suriname: ['Lesotho']; distance: 16
Spain: ['Lesotho']; distance: 16
Thailand: ['Canada']; distance: 16
Iraq: ['Canada']; distance: 16
Greece: ['Canada']; distance: 16
Cambodia: ['Canada']; distance: 16
Syria: ['Canada']; distance: 16
